17 mar 2024,Interest earned,,"1,01 PLN","12 353,24 PLN"
18 mar 2024,Interest earned,,"1,01 PLN","12 354,25 PLN"
19 mar 2024,Interest earned,,"1,01 PLN","12 355,26 PLN"
20 mar 2024,Interest earned,,"1,02 PLN","12 356,28 PLN"
21 mar 2024,Interest earned,,"1,01 PLN","12 357,29 PLN"
22 mar 2024,Interest earned,,"1,01 PLN","12 358,30 PLN"
23 mar 2024,Interest earned,,"1,02 PLN","12 359,32 PLN"
24 mar 2024,Interest earned,,"1,01 PLN","12 360,33 PLN"
25 mar 2024,Interest earned,,"1,01 PLN","12 361,34 PLN"
26 mar 2024,Interest earned,,"1,01 PLN","12 362,35 PLN"
27 mar 2024,Interest earned,,"1,02 PLN","12 363,37 PLN"
28 mar 2024,Interest earned,,"1,01 PLN","12 364,38 PLN"
29 mar 2024,Interest earned,,"1,01 PLN","12 365,39 PLN"
30 mar 2024,Interest earned,,"1,02 PLN","12 366,41 PLN"
31 mar 2024,Interest earned,,"1,01 PLN","12 367,42 PLN"
1 kwi 2024,Interest earned,,"1,02 PLN","12 368,44 PLN"
2 kwi 2024,Interest earned,,"1,01 PLN","12 369,45 PLN"
2 kwi 2024,Depositing savings,,450 PLN,"12 819,45 PLN"
3 kwi 2024,Interest earned,,"1,01 PLN","12 820,46 PLN"
4 kwi 2024,Interest earned,,"1,05 PLN","12 821,51 PLN"
5 kwi 2024,Interest earned,,"1,06 PLN","12 822,57 PLN"
6 kwi 2024,Interest earned,,"1,05 PLN","12 823,62 PLN"
7 kwi 2024,Interest earned,,"1,05 PLN","12 824,67 PLN"
8 kwi 2024,Interest earned,,"1,05 PLN","12 825,72 PLN"
9 kwi 2024,Interest earned,,"1,05 PLN","12 826,77 PLN"
10 kwi 2024,Interest earned,,"1,05 PLN","12 827,82 PLN"
11 kwi 2024,Interest earned,,"1,05 PLN","12 828,87 PLN"
12 kwi 2024,Interest earned,,"1,14 PLN","12 830,01 PLN"
13 kwi 2024,Interest earned,,"1,14 PLN","12 831,15 PLN"
14 kwi 2024,Interest earned,,"1,14 PLN","12 832,29 PLN"
15 kwi 2024,Interest earned,,"1,14 PLN","12 833,43 PLN"
16 kwi 2024,Interest earned,,"1,14 PLN","12 834,57 PLN"
17 kwi 2024,Interest earned,,"1,14 PLN","12 835,71 PLN"
18 kwi 2024,Interest earned,,"1,14 PLN","12 836,85 PLN"
18 kwi 2024,Depositing savings,,500 PLN,"13 336,85 PLN"
19 kwi 2024,Interest earned,,"1,14 PLN","13 337,99 PLN"
19 kwi 2024,Depositing savings,,200 PLN,"13 537,99 PLN"
20 kwi 2024,Interest earned,,"1,18 PLN","13 539,17 PLN"
21 kwi 2024,Interest earned,,"1,19 PLN","13 540,36 PLN"
22 kwi 2024,Interest earned,,"1,18 PLN","13 541,54 PLN"
22 kwi 2024,Depositing savings,,100 PLN,"13 641,54 PLN"
23 kwi 2024,Interest earned,,"1,20 PLN","13 642,74 PLN"
24 kwi 2024,Interest earned,,"1,22 PLN","13 643,96 PLN"
25 kwi 2024,Interest earned,,"1,21 PLN","13 645,17 PLN"
26 kwi 2024,Interest earned,,"1,21 PLN","13 646,38 PLN"
27 kwi 2024,Interest earned,,"1,21 PLN","13 647,59 PLN"
28 kwi 2024,Interest earned,,"1,21 PLN","13 648,80 PLN"
29 kwi 2024,Interest earned,,"1,22 PLN","13 650,02 PLN"
30 kwi 2024,Interest earned,,"1,21 PLN","13 651,23 PLN"
1 maj 2024,Interest earned,,"1,21 PLN","13 652,44 PLN"
1 maj 2024,Withdrawing savings,16 PLN,,"13 636,44 PLN"
2 maj 2024,Interest earned,,"1,21 PLN","13 637,65 PLN"
2 maj 2024,Depositing savings,,500 PLN,"14 137,65 PLN"
3 maj 2024,Interest earned,,"1,21 PLN","14 138,86 PLN"
4 maj 2024,Interest earned,,"1,21 PLN","14 140,07 PLN"
5 maj 2024,Interest earned,,"1,21 PLN","14 141,28 PLN"
6 maj 2024,Interest earned,,"1,22 PLN","14 142,50 PLN"
7 maj 2024,Interest earned,,"1,25 PLN","14 143,75 PLN"
8 maj 2024,Interest earned,,"1,26 PLN","14 145,01 PLN"
9 maj 2024,Interest earned,,"1,25 PLN","14 146,26 PLN"
10 maj 2024,Interest earned,,"1,26 PLN","14 147,52 PLN"
11 maj 2024,Interest earned,,"1,26 PLN","14 148,78 PLN"
11 maj 2024,Withdrawing savings,26 PLN,,"14 122,78 PLN"
12 maj 2024,Interest earned,,"1,25 PLN","14 124,03 PLN"
13 maj 2024,Interest earned,,"1,26 PLN","14 125,29 PLN"
14 maj 2024,Interest earned,,"1,25 PLN","14 126,54 PLN"
15 maj 2024,Interest earned,,"1,26 PLN","14 127,80 PLN"
16 maj 2024,Interest earned,,"1,25 PLN","14 129,05 PLN"
17 maj 2024,Interest earned,,"1,26 PLN","14 130,31 PLN"
18 maj 2024,Interest earned,,"1,25 PLN","14 131,56 PLN"
19 maj 2024,Interest earned,,"1,26 PLN","14 132,82 PLN"
20 maj 2024,Interest earned,,"1,25 PLN","14 134,07 PLN"
21 maj 2024,Interest earned,,"1,26 PLN","14 135,33 PLN"
22 maj 2024,Interest earned,,"1,25 PLN","14 136,58 PLN"
23 maj 2024,Interest earned,,"1,26 PLN","14 137,84 PLN"
24 maj 2024,Interest earned,,"1,25 PLN","14 139,09 PLN"
25 maj 2024,Interest earned,,"1,26 PLN","14 140,35 PLN"
26 maj 2024,Interest earned,,"1,25 PLN","14 141,60 PLN"
26 maj 2024,Withdrawing savings,50 PLN,,"14 091,60 PLN"
27 maj 2024,Interest earned,,"1,26 PLN","14 092,86 PLN"
28 maj 2024,Interest earned,,"1,25 PLN","14 094,11 PLN"
29 maj 2024,Interest earned,,"1,25 PLN","14 095,36 PLN"
30 maj 2024,Interest earned,,"1,25 PLN","14 096,61 PLN"
30 maj 2024,Withdrawing savings,2 000 PLN,,"12 096,61 PLN"
31 maj 2024,Interest earned,,"1,26 PLN","12 097,87 PLN"
1 cze 2024,Interest earned,,"1,07 PLN","12 098,94 PLN"
1 cze 2024,Withdrawing savings,300 PLN,,"11 798,94 PLN"
2 cze 2024,Interest earned,,"1,07 PLN","11 800,01 PLN"
3 cze 2024,Interest earned,,"1,08 PLN","11 801,09 PLN"
3 cze 2024,Depositing savings,,450 PLN,"12 251,09 PLN"
3 cze 2024,Withdrawing savings,100 PLN,,"12 151,09 PLN"
4 cze 2024,Interest earned,,"1,05 PLN","12 152,14 PLN"
5 cze 2024,Interest earned,,"1,08 PLN","12 153,22 PLN"
6 cze 2024,Interest earned,,"1,08 PLN","12 154,30 PLN"
7 cze 2024,Interest earned,,"1,07 PLN","12 155,37 PLN"
8 cze 2024,Interest earned,,"1,08 PLN","12 156,45 PLN"
9 cze 2024,Interest earned,,"1,08 PLN","12 157,53 PLN"
10 cze 2024,Interest earned,,"1,08 PLN","12 158,61 PLN"
11 cze 2024,Interest earned,,"1,08 PLN","12 159,69 PLN"
12 cze 2024,Interest earned,,"1,08 PLN","12 160,77 PLN"
13 cze 2024,Interest earned,,"1,08 PLN","12 161,85 PLN"
14 cze 2024,Interest earned,,"1,08 PLN","12 162,93 PLN"
15 cze 2024,Interest earned,,"1,08 PLN","12 164,01 PLN"
15 cze 2024,Withdrawing savings,120 PLN,,"12 044,01 PLN"
15 cze 2024,Withdrawing savings,40 PLN,,"12 004,01 PLN"
16 cze 2024,Interest earned,,"1,08 PLN","12 005,09 PLN"
17 cze 2024,Interest earned,,"1,08 PLN","12 006,17 PLN"
18 cze 2024,Interest earned,,"1,07 PLN","12 007,24 PLN"
19 cze 2024,Interest earned,,"1,06 PLN","12 008,30 PLN"
19 cze 2024,Withdrawing savings,100 PLN,,"11 908,30 PLN"
20 cze 2024,Interest earned,,"1,07 PLN","11 909,37 PLN"
20 cze 2024,Withdrawing savings,50 PLN,,"11 859,37 PLN"
21 cze 2024,Interest earned,,"1,06 PLN","11 860,43 PLN"
21 cze 2024,Withdrawing savings,20 PLN,,"11 840,43 PLN"
21 cze 2024,Withdrawing savings,100 PLN,,"11 740,43 PLN"
22 cze 2024,Interest earned,,"1,05 PLN","11 741,48 PLN"
23 cze 2024,Interest earned,,"1,05 PLN","11 742,53 PLN"
24 cze 2024,Interest earned,,"1,05 PLN","11 743,58 PLN"
25 cze 2024,Interest earned,,"1,05 PLN","11 744,63 PLN"
26 cze 2024,Interest earned,,"1,04 PLN","11 745,67 PLN"
27 cze 2024,Interest earned,,"1,04 PLN","11 746,71 PLN"
28 cze 2024,Interest earned,,"1,04 PLN","11 747,75 PLN"
29 cze 2024,Interest earned,,"1,05 PLN","11 748,80 PLN"
30 cze 2024,Interest earned,,"1,04 PLN","11 749,84 PLN"
1 lip 2024,Interest earned,,"1,04 PLN","11 750,88 PLN"
1 lip 2024,Withdrawing savings,100 PLN,,"11 650,88 PLN"
1 lip 2024,Depositing savings,,480 PLN,"12 130,88 PLN"
2 lip 2024,Interest earned,,"1,05 PLN","12 131,93 PLN"
2 lip 2024,Withdrawing savings,100 PLN,,"12 031,93 PLN"
3 lip 2024,Interest earned,,"1,08 PLN","12 033,01 PLN"
3 lip 2024,Withdrawing savings,20 PLN,,"12 013,01 PLN"
4 lip 2024,Interest earned,,"1,07 PLN","12 014,08 PLN"
5 lip 2024,Interest earned,,"1,07 PLN","12 015,15 PLN"
6 lip 2024,Interest earned,,"1,07 PLN","12 016,22 PLN"
7 lip 2024,Interest earned,,"1,06 PLN","12 017,28 PLN"
8 lip 2024,Interest earned,,"1,07 PLN","12 018,35 PLN"
9 lip 2024,Interest earned,,"1,07 PLN","12 019,42 PLN"
10 lip 2024,Interest earned,,"1,07 PLN","12 020,49 PLN"
11 lip 2024,Interest earned,,"1,06 PLN","12 021,55 PLN"
12 lip 2024,Interest earned,,"1,07 PLN","12 022,62 PLN"
13 lip 2024,Interest earned,,"1,07 PLN","12 023,69 PLN"
14 lip 2024,Interest earned,,"1,07 PLN","12 024,76 PLN"
14 lip 2024,Depositing savings,,90 PLN,"12 114,76 PLN"
15 lip 2024,Interest earned,,"1,06 PLN","12 115,82 PLN"
16 lip 2024,Interest earned,,"1,08 PLN","12 116,90 PLN"
17 lip 2024,Interest earned,,"1,07 PLN","12 117,97 PLN"
18 lip 2024,Interest earned,,"1,08 PLN","12 119,05 PLN"
18 lip 2024,Withdrawing savings,100 PLN,,"12 019,05 PLN"
19 lip 2024,Interest earned,,"1,08 PLN","12 020,13 PLN"
20 lip 2024,Interest earned,,"1,06 PLN","12 021,19 PLN"
20 lip 2024,Withdrawing savings,1 300 PLN,,"10 721,19 PLN"
21 lip 2024,Interest earned,,"1,07 PLN","10 722,26 PLN"
22 lip 2024,Interest earned,,"1,07 PLN","10 723,33 PLN"
22 lip 2024,Withdrawing savings,150 PLN,,"10 573,33 PLN"
22 lip 2024,Withdrawing savings,10 PLN,,"10 563,33 PLN"
23 lip 2024,Interest earned,,"0,95 PLN","10 564,28 PLN"
24 lip 2024,Interest earned,,"0,94 PLN","10 565,22 PLN"
25 lip 2024,Interest earned,,"0,94 PLN","10 566,16 PLN"
25 lip 2024,Withdrawing savings,200 PLN,,"10 366,16 PLN"
26 lip 2024,Interest earned,,"0,94 PLN","10 367,10 PLN"
26 lip 2024,Withdrawing savings,10 PLN,,"10 357,10 PLN"
27 lip 2024,Interest earned,,"0,92 PLN","10 358,02 PLN"
27 lip 2024,Depositing savings,,88 PLN,"10 446,02 PLN"
28 lip 2024,Interest earned,,"0,92 PLN","10 446,94 PLN"
29 lip 2024,Interest earned,,"0,92 PLN","10 447,86 PLN"
30 lip 2024,Interest earned,,"0,93 PLN","10 448,79 PLN"
31 lip 2024,Interest earned,,"0,92 PLN","10 449,71 PLN"
1 sie 2024,Interest earned,,"0,93 PLN","10 450,64 PLN"
1 sie 2024,Depositing savings,,500 PLN,"10 950,64 PLN"
2 sie 2024,Interest earned,,"0,93 PLN","10 951,57 PLN"
3 sie 2024,Interest earned,,"0,97 PLN","10 952,54 PLN"
4 sie 2024,Interest earned,,"0,97 PLN","10 953,51 PLN"
5 sie 2024,Interest earned,,"0,98 PLN","10 954,49 PLN"
5 sie 2024,Depositing savings,,79 PLN,"11 033,49 PLN"
6 sie 2024,Interest earned,,"0,97 PLN","11 034,46 PLN"
7 sie 2024,Interest earned,,"0,98 PLN","11 035,44 PLN"
7 sie 2024,Withdrawing savings,70 PLN,,"10 965,44 PLN"
7 sie 2024,Withdrawing savings,10 PLN,,"10 955,44 PLN"
7 sie 2024,Withdrawing savings,10 PLN,,"10 945,44 PLN"
7 sie 2024,Withdrawing savings,100 PLN,,"10 845,44 PLN"
7 sie 2024,Withdrawing savings,25 PLN,,"10 820,44 PLN"
8 sie 2024,Interest earned,,"0,98 PLN","10 821,42 PLN"
8 sie 2024,Withdrawing savings,10 PLN,,"10 811,42 PLN"
9 sie 2024,Interest earned,,"0,96 PLN","10 812,38 PLN"
10 sie 2024,Interest earned,,"0,96 PLN","10 813,34 PLN"
11 sie 2024,Interest earned,,"0,96 PLN","10 814,30 PLN"
11 sie 2024,Withdrawing savings,20 PLN,,"10 794,30 PLN"
12 sie 2024,Interest earned,,"0,96 PLN","10 795,26 PLN"
12 sie 2024,Depositing savings,,79 PLN,"10 874,26 PLN"
13 sie 2024,Interest earned,,"0,96 PLN","10 875,22 PLN"
13 sie 2024,Withdrawing savings,20 PLN,,"10 855,22 PLN"
14 sie 2024,Interest earned,,"0,97 PLN","10 856,19 PLN"
14 sie 2024,Depositing savings,,79 PLN,"10 935,19 PLN"
15 sie 2024,Interest earned,,"0,96 PLN","10 936,15 PLN"
16 sie 2024,Interest earned,,"0,96 PLN","10 937,11 PLN"
17 sie 2024,Interest earned,,"0,98 PLN","10 938,09 PLN"
17 sie 2024,Withdrawing savings,200 PLN,,"10 738,09 PLN"
18 sie 2024,Interest earned,,"0,97 PLN","10 739,06 PLN"
19 sie 2024,Interest earned,,"0,97 PLN","10 740,03 PLN"
19 sie 2024,Withdrawing savings,10 PLN,,"10 730,03 PLN"
19 sie 2024,Depositing savings,,10 PLN,"10 740,03 PLN"
20 sie 2024,Interest earned,,"0,95 PLN","10 740,98 PLN"
20 sie 2024,Withdrawing savings,10 PLN,,"10 730,98 PLN"
21 sie 2024,Interest earned,,"0,96 PLN","10 731,94 PLN"
21 sie 2024,Withdrawing savings,100 PLN,,"10 631,94 PLN"
22 sie 2024,Interest earned,,"0,95 PLN","10 632,89 PLN"
23 sie 2024,Interest earned,,"0,94 PLN","10 633,83 PLN"
24 sie 2024,Interest earned,,"0,95 PLN","10 634,78 PLN"
24 sie 2024,Withdrawing savings,30 PLN,,"10 604,78 PLN"
24 sie 2024,Depositing savings,,11 PLN,"10 615,78 PLN"
25 sie 2024,Interest earned,,"0,94 PLN","10 616,72 PLN"
26 sie 2024,Interest earned,,"0,95 PLN","10 617,67 PLN"
26 sie 2024,Withdrawing savings,50 PLN,,"10 567,67 PLN"
27 sie 2024,Interest earned,,"0,94 PLN","10 568,61 PLN"
27 sie 2024,Withdrawing savings,10 PLN,,"10 558,61 PLN"
28 sie 2024,Interest earned,,"0,94 PLN","10 559,55 PLN"
29 sie 2024,Interest earned,,"0,93 PLN","10 560,48 PLN"
30 sie 2024,Interest earned,,"0,94 PLN","10 561,42 PLN"
30 sie 2024,Withdrawing savings,10 000 PLN,,"561,42 PLN"
31 sie 2024,Interest earned,,"0,94 PLN","562,36 PLN"
31 sie 2024,Withdrawing savings,5 PLN,,"557,36 PLN"
1 wrz 2024,Interest earned,,"0,94 PLN","558,30 PLN"
2 wrz 2024,Interest earned,,"0,94 PLN","559,24 PLN"
2 wrz 2024,Depositing savings,,8 000 PLN,"8 559,24 PLN"
2 wrz 2024,Depositing savings,,2 000 PLN,"10 559,24 PLN"
3 wrz 2024,Interest earned,,"0,05 PLN","10 559,29 PLN"
3 wrz 2024,Withdrawing savings,10 PLN,,"10 549,29 PLN"
3 wrz 2024,Withdrawing savings,10 PLN,,"10 539,29 PLN"
3 wrz 2024,Withdrawing savings,10 PLN,,"10 529,29 PLN"
3 wrz 2024,Withdrawing savings,140 PLN,,"10 389,29 PLN"
3 wrz 2024,Withdrawing savings,30 PLN,,"10 359,29 PLN"
4 wrz 2024,Interest earned,,"0,93 PLN","10 360,22 PLN"
4 wrz 2024,Withdrawing savings,20 PLN,,"10 340,22 PLN"
5 wrz 2024,Interest earned,,"0,92 PLN","10 341,14 PLN"
5 wrz 2024,Withdrawing savings,20 PLN,,"10 321,14 PLN"
6 wrz 2024,Interest earned,,"0,92 PLN","10 322,06 PLN"
6 wrz 2024,Withdrawing savings,10 PLN,,"10 312,06 PLN"
6 wrz 2024,Withdrawing savings,30 PLN,,"10 282,06 PLN"
7 wrz 2024,Interest earned,,"0,92 PLN","10 282,98 PLN"
7 wrz 2024,Withdrawing savings,30 PLN,,"10 252,98 PLN"
7 wrz 2024,Withdrawing savings,10 PLN,,"10 242,98 PLN"
7 wrz 2024,Withdrawing savings,20 PLN,,"10 222,98 PLN"
8 wrz 2024,Interest earned,,"0,91 PLN","10 223,89 PLN"
8 wrz 2024,Withdrawing savings,20 PLN,,"10 203,89 PLN"
9 wrz 2024,Interest earned,,"0,92 PLN","10 204,81 PLN"
10 wrz 2024,Interest earned,,"0,91 PLN","10 205,72 PLN"
10 wrz 2024,Withdrawing savings,30 PLN,,"10 175,72 PLN"
10 wrz 2024,Depositing savings,,20 PLN,"10 195,72 PLN"
11 wrz 2024,Interest earned,,"0,90 PLN","10 196,62 PLN"
11 wrz 2024,Withdrawing savings,50 PLN,,"10 146,62 PLN"
11 wrz 2024,Withdrawing savings,5 PLN,,"10 141,62 PLN"
11 wrz 2024,Withdrawing savings,55 PLN,,"10 086,62 PLN"
11 wrz 2024,Depositing savings,,44 PLN,"10 130,62 PLN"
12 wrz 2024,Interest earned,,"0,91 PLN","10 131,53 PLN"
12 wrz 2024,Withdrawing savings,20 PLN,,"10 111,53 PLN"
13 wrz 2024,Interest earned,,"0,90 PLN","10 112,43 PLN"
13 wrz 2024,Withdrawing savings,10 PLN,,"10 102,43 PLN"
14 wrz 2024,Interest earned,,"0,90 PLN","10 103,33 PLN"
14 wrz 2024,Withdrawing savings,140 PLN,,"9 963,33 PLN"
14 wrz 2024,Withdrawing savings,20 PLN,,"9 943,33 PLN"
14 wrz 2024,Withdrawing savings,20 PLN,,"9 923,33 PLN"
14 wrz 2024,Withdrawing savings,20 PLN,,"9 903,33 PLN"
14 wrz 2024,Depositing savings,,26 PLN,"9 929,33 PLN"
14 wrz 2024,Withdrawing savings,20 PLN,,"9 909,33 PLN"
15 wrz 2024,Interest earned,,"0,89 PLN","9 910,22 PLN"
16 wrz 2024,Interest earned,,"0,90 PLN","9 911,12 PLN"
17 wrz 2024,Interest earned,,"0,88 PLN",9 912 PLN
17 wrz 2024,Withdrawing savings,10 PLN,,9 902 PLN
18 wrz 2024,Interest earned,,"0,88 PLN","9 902,88 PLN"
18 wrz 2024,Withdrawing savings,10 PLN,,"9 892,88 PLN"
19 wrz 2024,Interest earned,,"0,88 PLN","9 893,76 PLN"
19 wrz 2024,Withdrawing savings,50 PLN,,"9 843,76 PLN"
20 wrz 2024,Interest earned,,"0,88 PLN","9 844,64 PLN"
20 wrz 2024,Withdrawing savings,104 PLN,,"9 740,64 PLN"
20 wrz 2024,Withdrawing savings,15 PLN,,"9 725,64 PLN"
20 wrz 2024,Depositing savings,,"8,01 PLN","9 733,65 PLN"
21 wrz 2024,Interest earned,,"0,88 PLN","9 734,53 PLN"
21 wrz 2024,Withdrawing savings,20 PLN,,"9 714,53 PLN"
21 wrz 2024,Withdrawing savings,20 PLN,,"9 694,53 PLN"
21 wrz 2024,Depositing savings,,20 PLN,"9 714,53 PLN"
21 wrz 2024,Depositing savings,,"16,79 PLN","9 731,32 PLN"
22 wrz 2024,Interest earned,,"0,87 PLN","9 732,19 PLN"
22 wrz 2024,Withdrawing savings,50 PLN,,"9 682,19 PLN"
22 wrz 2024,Withdrawing savings,43 PLN,,"9 639,19 PLN"
22 wrz 2024,Depositing savings,,50 PLN,"9 689,19 PLN"
23 wrz 2024,Interest earned,,"0,87 PLN","9 690,06 PLN"
23 wrz 2024,Withdrawing savings,5 PLN,,"9 685,06 PLN"
23 wrz 2024,Depositing savings,,79 PLN,"9 764,06 PLN"
24 wrz 2024,Interest earned,,"0,86 PLN","9 764,92 PLN"
24 wrz 2024,Withdrawing savings,20 PLN,,"9 744,92 PLN"
25 wrz 2024,Interest earned,,"0,87 PLN","9 745,79 PLN"
25 wrz 2024,Withdrawing savings,230 PLN,,"9 515,79 PLN"
25 wrz 2024,Depositing savings,,"6,01 PLN","9 521,80 PLN"
26 wrz 2024,Interest earned,,"0,87 PLN","9 522,67 PLN"
26 wrz 2024,Withdrawing savings,60 PLN,,"9 462,67 PLN"
26 wrz 2024,Withdrawing savings,20 PLN,,"9 442,67 PLN"
26 wrz 2024,Depositing savings,,"9,01 PLN","9 451,68 PLN"
26 wrz 2024,Withdrawing savings,20 PLN,,"9 431,68 PLN"
26 wrz 2024,Withdrawing savings,20 PLN,,"9 411,68 PLN"
27 wrz 2024,Interest earned,,"0,84 PLN","9 412,52 PLN"
28 wrz 2024,Interest earned,,"0,84 PLN","9 413,36 PLN"
28 wrz 2024,Withdrawing savings,75 PLN,,"9 338,36 PLN"
28 wrz 2024,Depositing savings,,"6,12 PLN","9 344,48 PLN"
28 wrz 2024,Withdrawing savings,47 PLN,,"9 297,48 PLN"
28 wrz 2024,Withdrawing savings,20 PLN,,"9 277,48 PLN"
29 wrz 2024,Interest earned,,"0,83 PLN","9 278,31 PLN"
29 wrz 2024,Withdrawing savings,10 PLN,,"9 268,31 PLN"
30 wrz 2024,Interest earned,,"0,84 PLN","9 269,15 PLN"
30 wrz 2024,Withdrawing savings,20 PLN,,"9 249,15 PLN"
30 wrz 2024,Depositing savings,,79 PLN,"9 328,15 PLN"
1 paź 2024,Interest earned,,"0,82 PLN","9 328,97 PLN"
1 paź 2024,Depositing savings,,200 PLN,"9 528,97 PLN"
1 paź 2024,Depositing savings,,1 800 PLN,"11 328,97 PLN"
1 paź 2024,Withdrawing savings,270 PLN,,"11 058,97 PLN"
1 paź 2024,Depositing savings,,3 PLN,"11 061,97 PLN"
2 paź 2024,Interest earned,,"0,83 PLN","11 062,80 PLN"
2 paź 2024,Depositing savings,,"38,88 PLN","11 101,68 PLN"
2 paź 2024,Withdrawing savings,400 PLN,,"10 701,68 PLN"
2 paź 2024,Depositing savings,,"8,88 PLN","10 710,56 PLN"
3 paź 2024,Interest earned,,"0,98 PLN","10 711,54 PLN"
3 paź 2024,Depositing savings,,"116,99 PLN","10 828,53 PLN"
4 paź 2024,Interest earned,,"0,96 PLN","10 829,49 PLN"
5 paź 2024,Interest earned,,"0,96 PLN","10 830,45 PLN"
5 paź 2024,Withdrawing savings,200 PLN,,"10 630,45 PLN"
6 paź 2024,Interest earned,,"0,96 PLN","10 631,41 PLN"
7 paź 2024,Interest earned,,"0,96 PLN","10 632,37 PLN"
8 paź 2024,Interest earned,,"0,94 PLN","10 633,31 PLN"
8 paź 2024,Withdrawing savings,15 PLN,,"10 618,31 PLN"
9 paź 2024,Interest earned,,"0,95 PLN","10 619,26 PLN"
9 paź 2024,Withdrawing savings,10 PLN,,"10 609,26 PLN"
10 paź 2024,Interest earned,,"0,94 PLN","10 610,20 PLN"
10 paź 2024,Withdrawing savings,20 PLN,,"10 590,20 PLN"
10 paź 2024,Depositing savings,,"2,62 PLN","10 592,82 PLN"
10 paź 2024,Withdrawing savings,50 PLN,,"10 542,82 PLN"
11 paź 2024,Interest earned,,"0,94 PLN","10 543,76 PLN"
11 paź 2024,Withdrawing savings,"0,01 PLN",,"10 543,75 PLN"
12 paź 2024,Interest earned,,"0,94 PLN","10 544,69 PLN"
12 paź 2024,Withdrawing savings,10 PLN,,"10 534,69 PLN"
12 paź 2024,Depositing savings,,"9,81 PLN","10 544,50 PLN"
12 paź 2024,Withdrawing savings,1 PLN,,"10 543,50 PLN"
12 paź 2024,Depositing savings,,"0,90 PLN","10 544,40 PLN"
12 paź 2024,Withdrawing savings,10 PLN,,"10 534,40 PLN"
13 paź 2024,Interest earned,,"0,94 PLN","10 535,34 PLN"
13 paź 2024,Withdrawing savings,20 PLN,,"10 515,34 PLN"
14 paź 2024,Interest earned,,"0,93 PLN","10 516,27 PLN"
14 paź 2024,Withdrawing savings,20 PLN,,"10 496,27 PLN"
14 paź 2024,Withdrawing savings,20 PLN,,"10 476,27 PLN"
14 paź 2024,Depositing savings,,45 PLN,"10 521,27 PLN"
15 paź 2024,Interest earned,,"0,94 PLN","10 522,21 PLN"
16 paź 2024,Interest earned,,"0,93 PLN","10 523,14 PLN"
16 paź 2024,Depositing savings,,"96 359,20 PLN","106 882,34 PLN"
17 paź 2024,Interest earned,,"0,94 PLN","106 883,28 PLN"
18 paź 2024,Interest earned,,"0,93 PLN","106 884,21 PLN"
19 paź 2024,Interest earned,,"9,49 PLN","106 893,70 PLN"
19 paź 2024,Withdrawing savings,20 PLN,,"106 873,70 PLN"
19 paź 2024,Withdrawing savings,20 PLN,,"106 853,70 PLN"
19 paź 2024,Depositing savings,,15 PLN,"106 868,70 PLN"
19 paź 2024,Withdrawing savings,15 PLN,,"106 853,70 PLN"
19 paź 2024,Depositing savings,,"14,44 PLN","106 868,14 PLN"
20 paź 2024,Interest earned,,"9,49 PLN","106 877,63 PLN"
20 paź 2024,Withdrawing savings,15 PLN,,"106 862,63 PLN"
21 paź 2024,Interest earned,,"9,50 PLN","106 872,13 PLN"
22 paź 2024,Interest earned,,"9,49 PLN","106 881,62 PLN"
22 paź 2024,Withdrawing savings,43 PLN,,"106 838,62 PLN"
22 paź 2024,Depositing savings,,"25 987,89 PLN","132 826,51 PLN"
23 paź 2024,Interest earned,,"9,49 PLN",132 836 PLN
23 paź 2024,Withdrawing savings,10 PLN,,132 826 PLN
24 paź 2024,Interest earned,,"11,79 PLN","132 837,79 PLN"
24 paź 2024,Withdrawing savings,10 PLN,,"132 827,79 PLN"
24 paź 2024,Withdrawing savings,7 PLN,,"132 820,79 PLN"
25 paź 2024,Interest earned,,"11,80 PLN","132 832,59 PLN"
25 paź 2024,Depositing savings,,4 PLN,"132 836,59 PLN"
26 paź 2024,Interest earned,,"11,79 PLN","132 848,38 PLN"
26 paź 2024,Withdrawing savings,34 PLN,,"132 814,38 PLN"
26 paź 2024,Depositing savings,,20 PLN,"132 834,38 PLN"
26 paź 2024,Withdrawing savings,50 PLN,,"132 784,38 PLN"
27 paź 2024,Interest earned,,"11,80 PLN","132 796,18 PLN"
27 paź 2024,Withdrawing savings,"144,25 PLN",,"132 651,93 PLN"
28 paź 2024,Interest earned,,"11,80 PLN","132 663,73 PLN"
28 paź 2024,Withdrawing savings,70 000 PLN,,"62 663,73 PLN"
29 paź 2024,Interest earned,,"14,50 PLN","62 678,23 PLN"
30 paź 2024,Interest earned,,"6,85 PLN","62 685,08 PLN"
30 paź 2024,Depositing savings,,79 PLN,"62 764,08 PLN"
31 paź 2024,Interest earned,,"6,85 PLN","62 770,93 PLN"
31 paź 2024,Withdrawing savings,10 PLN,,"62 760,93 PLN"
31 paź 2024,Depositing savings,,"6,51 PLN","62 767,44 PLN"
1 lis 2024,Interest earned,,"6,86 PLN","62 774,30 PLN"
1 lis 2024,Withdrawing savings,392 PLN,,"62 382,30 PLN"
2 lis 2024,Interest earned,,"6,86 PLN","62 389,16 PLN"
2 lis 2024,Depositing savings,,"0,88 PLN","62 390,04 PLN"
3 lis 2024,Interest earned,,"6,86 PLN","62 396,90 PLN"
4 lis 2024,Interest earned,,"6,86 PLN","62 403,76 PLN"
4 lis 2024,Depositing savings,,2 000 PLN,"64 403,76 PLN"
